condition,frame,canonical_filename,original_filename,old_postimages_url,size_kb
CAFE_FE,3,CAFE_FE_03.jpg,Cafe-FE-v2-frame-03-payment-no-subtitle.png,https://i.postimg.cc/ydRdFRPn/Cafe-FE-v2-frame-03-payment-no-subtitle.png,168.7
CAFE_FE,4,CAFE_FE_04.jpg,Cafe-FE-v2-frame-04-waiting-no-subtitle.png,https://i.postimg.cc/G2D2kDQK/Cafe-FE-v2-frame-04-waiting-no-subtitle.png,168.5
CAFE_FE,5,CAFE_FE_05.jpg,Cafe-FE-v2-frame-05-coffee-pickup-no-subtitle.png,https://i.postimg.cc/L5MsvsC3/Cafe-FE-v2-frame-05-coffee-pickup-no-subtitle.png,138.3
CAFE_FU,1,CAFE_FU_01.jpg,Cafe-FU-frame-01-counter-setup-no-subtitle.png,https://i.postimg.cc/fWFGGFMM/Cafe-FU-frame-01-counter-setup-no-subtitle.png,165.8
CAFE_FU,2,CAFE_FU_02.jpg,Cafe-FU-frame-02-customer-orders-subtitle.png,https://i.postimg.cc/y65MM576/Cafe-FU-frame-02-customer-orders-subtitle.png,171.5
CAFE_FU,3,CAFE_FU_03.jpg,Cafe-FU-frame-03-payment-no-subtitle.png,https://i.postimg.cc/RC8kk8vS/Cafe-FU-frame-03-payment-no-subtitle.png,163.3
CAFE_FU,4,CAFE_FU_04.jpg,Cafe-FU-frame-04-waiting-no-subtitle.png,https://i.postimg.cc/VsTxxTzk/Cafe-FU-frame-04-waiting-no-subtitle.png,200.2
CAFE_FU,5,CAFE_FU_05.jpg,Cafe-FU-frame-05-pickup-reaction-no-subtitle.png,https://i.postimg.cc/NGV33VQ5/Cafe-FU-frame-05-pickup-reaction-no-subtitle.png,157.6
CAFE_NE,1,CAFE_NE_01.jpg,1-were-closing.png,https://i.postimg.cc/cH155J8R/1-were-closing.png,181.1
CAFE_NE,2,CAFE_NE_02.jpg,2-ill-take-an-espresso.png,https://i.postimg.cc/cH155J8R/1-were-closing.png,180.7
CAFE_NE,3,CAFE_NE_03.jpg,3-payment-better.png,https://i.postimg.cc/j2mg5Q37/2-ill-take-an-espresso.png,171.0
CAFE_NE,4,CAFE_NE_04.jpg,4-my-colleague-will-bring-it.png,https://i.postimg.cc/7Zvtr9Td/3-payment-better.png,169.5
CAFE_NE,5,CAFE_NE_05.jpg,Chat-GPT-Image-Jun-26-2026-at-06-33-51-PM.png,https://i.postimg.cc/W1MWNZGJ/4-my-colleague-will-bring-it.png,144.6
CAFE_NU,1,CAFE_NU_01.jpg,Cafe-NU-frame-01-counter-start-no-subtitle.png,https://i.postimg.cc/rwvCc1Kc/Cafe-NU-frame-01-counter-start-no-subtitle.png,154.3
CAFE_NU,2,CAFE_NU_02.jpg,Cafe-NU-frame-02-order-espresso-subtitle.png,https://i.postimg.cc/RZjQ97NM/Cafe-NU-frame-02-order-espresso-subtitle.png,186.1
CAFE_NU,3,CAFE_NU_03.jpg,Cafe-NU-frame-03-payment-no-subtitle.png,https://i.postimg.cc/FH2gmy7r/Cafe-NU-frame-03-payment-no-subtitle.png,166.6
CAFE_NU,4,CAFE_NU_04.jpg,Cafe-NU-frame-04-staff-carries-drink-no-subtitle.png,https://i.postimg.cc/Vk3B1qdw/Cafe-NU-frame-04-staff-carries-drink-no-subtitle.png,105.4
CAFE_NU,5,CAFE_NU_05.jpg,Cafe-NU-frame-05-table-delivery-no-subtitle.png,https://i.postimg.cc/P5BzhWPf/Cafe-NU-frame-05-table-delivery-no-subtitle.png,132.6
CHARITY_FE,1,CHARITY_FE_01.jpg,IMG-0306.jpg,https://i.postimg.cc/1510srSv/IMG-0306.jpg,128.7
CHARITY_FE,2,CHARITY_FE_02.jpg,IMG-0307.jpg,https://i.postimg.cc/ZKzP4xmf/IMG-0307.jpg,139.3
CHARITY_FE,3,CHARITY_FE_03.jpg,Chat-GPT-Image-Jun-26-2026-at-10-27-31-PM.png,https://i.postimg.cc/pL6pXPjg/Chat-GPT-Image-Jun-26-2026-at-10-27-31-PM.png,171.7
CHARITY_FE,4,CHARITY_FE_04.jpg,IMG-0309.jpg,https://i.postimg.cc/7ZmS1v20/IMG-0309.jpg,130.6
CHARITY_FE,5,CHARITY_FE_05.jpg,IMG-0310.jpg,https://i.postimg.cc/kgfWNrbx/IMG-0310.jpg,131.1
CHARITY_FU,1,CHARITY_FU_01.jpg,Charity-FU-frame-01-00-01.png,https://i.postimg.cc/rpDSB278/Charity-FU-frame-01-00-01.png,146.0
CHARITY_FU,2,CHARITY_FU_02.jpg,Charity-FU-frame-02-00-07.png,https://i.postimg.cc/hGX9kRNh/Charity-FU-frame-02-00-07.png,160.6
CHARITY_FU,3,CHARITY_FU_03.jpg,Charity-FU-frame-03-00-14.png,https://i.postimg.cc/hGX9kRNv/Charity-FU-frame-03-00-14.png,150.7
